Nombre_Clase,Cantidad_Viajes
restaurant,4427
convenience,4407
fast_food,3651
bank,3643
cafe,3147
supermarket,2455
school,2385
pharmacy,2280
bakery,1659
bicycle_rental,1539
stationery,1240
cinema,1230
clinic,1157
clothes,1140
bicycle_shop,1101
doityourself,1085
department_store,1082
dentist,1004
mobile_phone_shop,918
community_centre,906
car_dealership,831
hotel,831
bar,803
sports_centre,797
kindergarten,719
police,679
bookshop,650
artwork,609
memorial,544
hospital,500
laundry,487
florist,474
beauty_shop,435
shoe_shop,423
atm,421
beverages,419
hairdresser,387
theatre,337
doctors,325
gift_shop,295
post_office,294
pub,290
furniture_shop,283
college,256
jeweller,249
arts_centre,248
museum,246
library,241
market_place,228
optician,228
veterinary,223
recycling,214
sports_shop,195
butcher,193
hostel,186
nightclub,182
attraction,164
car_wash,153
monument,148
general,136
park,135
car_rental,133
computer_shop,132
greengrocer,132
university,131
toy_shop,120
embassy,114
fountain,112
mall,110
video_shop,88
courthouse,83
travel_agent,79
tourist_info,58
playground,56
swimming_pool,50
guesthouse,48
motel,46
toilet,42
recycling_glass,38
telephone,35
chemist,29
outdoor_shop,27
food_court,26
newsagent,25
viewpoint,23
recycling_paper,22
kiosk,19
water_well,19
town_hall,18
ruins,17
post_box,16
chalet,15
shelter,11
bench,11
fire_station,11
archaeological,10
pitch,9
garden_centre,8
drinking_water,7
graveyard,7
wayside_shrine,6
picnic_site,4
wastewater_plant,3
camera_surveillance,3
prison,2
theme_park,2
stadium,2
waste_basket,2
ice_rink,2
water_works,1
golf_course,1
track,1
